Location,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Wrap,Cost,Reviewer,Rec,overall
california burritos,4.0,4.0,4.0,3.5,4.0,3.0,4.0,4.0,4.5,6.25,ricardo,Yes,3.75
california burritos,4.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,3.0,6.25,elynn,Yes,4.0
california burritos,4.0,4.0,3.5,3.5,4.0,3.5,4.0,3.5,4.5,6.25,matteo,Yes,4.0
california burritos,3.5,3.5,2.0,3.0,3.5,3.5,2.5,2.5,4.5,6.25,scott,Yes,3.4
california burritos,4.5,4.5,4.0,4.0,4.5,4.0,4.0,4.5,4.0,6.25,brent,Yes,4.0
los primos mexican food,2.5,4.0,4.0,2.0,3.0,2.0,3.5,3.0,4.5,7.0,emily,No,2.5
los primos mexican food,2.0,4.0,2.5,2.5,3.0,2.0,4.0,3.5,4.5,6.25,scott,No,2.6
los primos mexican food,4.0,3.5,3.0,2.0,2.0,1.0,3.0,3.5,4.0,7.0,ricardo,No,2.0
papa chito's mexican food,3.5,3.5,3.5,2.5,2.5,2.5,4.0,2.0,5.0,6.25,scott,No,2.2
papa chito's mexican food,4.0,4.0,5.0,3.0,3.0,4.0,3.5,4.0,5.0,6.25,sage,Yes,3.75
el pueblo mexican food,4.0,4.5,4.5,3.5,4.0,4.5,5.0,2.5,5.0,4.99,scott,Yes,4.3
burros and fries,4.0,3.5,4.5,3.5,3.5,3.0,1.5,2.5,5.0,6.89,scott,Yes,3.5
burros and fries,5.0,3.0,5.0,4.5,4.5,3.0,4.0,4.5,4.5,6.89,brent,Yes,4.0
king burrito,3.5,3.0,3.0,3.0,3.0,2.5,2.0,2.5,4.0,4.99,emily,No,2.8
king burrito,3.5,2.5,4.5,2.0,3.0,2.5,1.5,3.0,4.5,5.29,scott,No,2.5
taco stand,2.0,4.0,5.0,4.5,3.5,3.5,2.0,3.5,5.0,7.49,scott,Yes,4.0
taco stand,2.5,3.5,5.0,4.0,3.0,4.0,4.5,3.0,5.0,7.49,tj,Yes,4.0
carmen's mexican food,3.5,2.5,4.0,3.5,4.0,4.0,3.0,1.5,5.0,6.5,scott,Yes,3.6
carmen's mexican food,5.0,4.5,4.5,3.5,4.0,4.0,3.5,4.0,4.0,6.5,brent,Yes,4.0
senor panchos,3.5,2.5,3.5,3.0,3.0,5.0,4.5,3.5,5.0,6.25,scott,No,2.9
senor panchos,3.0,3.0,4.0,4.0,3.0,3.5,4.5,4.0,5.0,6.25,emily,Yes,4.0
los cabos,4.0,4.0,4.5,2.5,2.5,2.5,1.5,3.0,5.0,5.99,scott,No,3.0
